Title,Rating TripAvisdor,Voters TripAvisdor
 Casa Lever,4.0,294
LandShark Bar & Grill - Times Square,5.0,4
Margaritaville Restaurant- Times Square,3.5,12
 Wolfgang's Steakhouse,4.0,1192
 Gelso & Grand,4.0,901
 Lure Fishbar,4.0,645
 Nizza,4.0,1013
 Cafe Sabarsky,4.0,682
 Max Brenner NYC,4.0,2043
 The Grey Dog (Union Square),4.5,193
 Quality Italian,4.0,833
 Il Buco,4.0,528
 Le District,4.0,512
LandShark Bar & Grill - Times Square,5.0,4
 Amy Ruth's Home Style Southern Cuisine,4.0,905
 Cafe Cranberry,4.0,701
 The Long Room,4.0,484
 Motorino,4.5,284
 Delicatessen,4.0,556
Famous Amadeus Pizza,4.0,44
 Joseph Leonard,4.5,206
 Rocco Steakhouse,4.5,209
 Mudspot,4.5,134
 McHale's Bar & Grill,4.0,486
 Fanelli Cafe,4.0,352
Piccola Cucina Osteria,4.5,2579
 Mercato,4.0,1007
 Nix,4.5,227
 STK Midtown,4.0,884
 Ceci Italian Restaurant & Bar,4.0,648
 Gotham Pizza,4.0,269
Maison Bangkok,3.5,6
 The Stagecoach Tavern,4.0,458
 Upstate,4.5,143
 West End Bar & Grill,4.0,373
 Amarone NY,4.0,1052
 Hill Country Barbecue Market,4.0,1079
5 o'Clock Somewhere Bar,4.0,4
ICHIRAN Times Square,4.5,59
 Cafe d'Alsace,4.0,363
 Kiss My Slice,4.5,117
 Virgil's Real BBQ - Times Square,4.0,4593
 Saxon and Parole,4.5,312
 Le Relais de Venise L'Entrecote Midtown East,4.0,802
Quality Italian,4.0,833
 Villa Berulia Restaurant,4.5,177
 O'Brien's Irish Pub & Restaurant,4.0,579
 Gigino Trattoria,4.5,249
 Maialino Resturant,4.0,923
 Angelo's Pizza,4.0,1782
Quality Bistro,4.5,30
 Tout Va Bien,4.0,475
 Kashkaval Garden,4.5,144
 Merchants River House,4.0,364
 Sticky Rice,4.5,119
 Artichoke Basille's Pizza,4.0,518
Quality Meats,4.5,2378
 La Bonne Soupe,4.0,1006
 The Grand Tier,4.5,346
 Maison Pickle,4.5,192
 The Clocktower,4.0,355
 Circo,4.0,521
Piccola Cucina Osteria,4.5,2579
 The Malt House,4.0,260
 Strip House,4.0,679
 Tribeca Grill,4.0,1201
 Yum Yum Too,4.0,443
 Locanda Verde,4.0,1196
Famous Amadeus Pizza,4.0,44
 Tavern on the Green,4.0,3350
 Rosa Mexicano,4.0,466
 Ted's Montana Grill,4.0,739
 John's of Times Square,4.0,6065
 Hurley's Saloon,4.0,698
LandShark Bar & Grill - Times Square,5.0,4
Piccola Cucina Osteria,4.5,2579
 Giorgio's of Gramercy,4.5,261
 Barbounia,4.0,395
 Broome Street Bar,4.0,313
 Bistango at the Kimberly Hotel,4.5,232
 Le Colonial,4.0,377
Quality Bistro,4.5,30
 Ritz Diner,4.0,418
 Industry Kitchen,4.0,416
 Chai Thai Kitchen,4.0,345
 Le Pain Quotidien,4.0,754
 La Contenta,4.5,88
LandShark Bar & Grill - Times Square,5.0,4
 COTE Korean Steakhouse,4.5,191
 Cafe Fiorello,4.0,1374
 Tony's Di Napoli,4.5,153
 Morandi,4.0,560
 At Nine Restaurant & Bar,4.5,132
ICHIRAN Times Square,4.5,59
 Ellen's Stardust Diner,4.0,21902
 Mighty Quinn's Barbeque,4.5,177
 La Gioconda,4.5,146
 Emilio's Ballato,4.5,335
 Nino's 46,4.0,368
Margaritaville Restaurant- Times Square,3.5,12
 Tappo,4.0,262
 Good Enough to Eat,4.0,779
 Marseille,4.0,1184
 Baekjeong NYC,4.5,257
 Haru Sushi,4.0,766
Quality Meats,4.5,2378
 Brendan's Bar & Grill,4.0,895
 Del Frisco's Grille,4.0,940
 Roxy Bar,4.5,148
 Piacere,4.5,359
 Vandal,4.0,454
Famous Amadeus Pizza,4.0,44
Quality Italian,4.0,833
" Tir na Nog, 31st St",4.5,282
 Jajaja,5.0,74
 North Square Restaurant & Lounge,4.5,248
 Ovest Pizzoteca,4.5,172
 Benoit New York,4.0,935
Quality Bistro,4.5,30
 The Standard Grill,4.0,1800
 Atlantic Grill,4.0,518
 Zoob Zib Thai Authentic Noodle Bar,4.5,219
 Quantum Leap Natural Food,4.5,165
 Ravagh Persian Grill,4.5,216
LandShark Bar & Grill - Times Square,5.0,4
 Le Gigot,4.5,176
 Route 66 Cafe,4.0,387
 Cellini,4.0,425
 Connolly's Pub & Restaurant,4.5,176
 Galaxy Diner,4.0,477
5 o'Clock Somewhere Bar,4.0,4
 Cho Dang Gol,4.0,319
 Joe's Shanghai,4.0,1885
 Sylvia's Restaurant,4.0,2071
 Osteria Laguna Restaurant,4.0,761
 Sarabeth's East,4.0,586
Piccola Cucina Osteria,4.5,2579
 La Pecora Bianca,4.0,408
 Wasabi Sushi & Bento,4.0,622
 Chazz Palminteri Italian Restaurant,4.5,257
 Rosa Mexicano,4.0,1367
 Wolfgang's Steakhouse--Midtown 54th Street,4.0,408
ICHIRAN Times Square,4.5,59
 The Clam,4.5,169
